id;type;geometry
332;N/A;POINT (11.349679099999998 44.5085269)
333;N/A;POINT (11.3504921 44.5115179)
334;N/A;POINT (11.3488045 44.51172559999999)
335;N/A;POINT (11.350768499999997 44.51162219999999)
336;N/A;POINT (11.347291999999998 44.50984270000001)
337;N/A;POINT (11.3491058 44.510721399999994)
338;N/A;POINT (11.3488339 44.5096398)
339;N/A;POINT (11.3502073 44.5105714)
340;N/A;POINT (11.3503898 44.51128369999999)
341;N/A;POINT (11.3512578 44.5104345)
342;N/A;POINT (11.350987999999997 44.5093521)
343;N/A;POINT (11.3529597 44.51020419999999)
344;N/A;POINT (11.3564248 44.5097152)
345;N/A;POINT (11.3581454 44.5092685)
346;N/A;POINT (11.356824852801704 44.51056681869562)
347;N/A;POINT (11.356229899999999 44.5093102)
348;N/A;POINT (11.3455587 44.50908229999999)
349;N/A;POINT (11.345835000000001 44.5082488)
350;N/A;POINT (11.3485901 44.5086775)
351;N/A;POINT (11.3499247 44.5094944)
352;N/A;POINT (11.350734699999999 44.5083784)
353;N/A;POINT (11.3524161 44.50815180000001)
354;N/A;POINT (11.3405809 44.5076528)
355;N/A;POINT (11.3460777 44.5069164)
356;N/A;POINT (11.346332 44.5077697)
357;N/A;POINT (11.3439365 44.50720520000001)
358;N/A;POINT (11.3442715 44.508454)
359;N/A;POINT (11.3432422 44.50858900000001)
360;N/A;POINT (11.344464599999998 44.509188599999995)
361;N/A;POINT (11.345384000034022 44.51321685006023)
362;N/A;POINT (11.347093100000002 44.513000299999995)
363;N/A;POINT (11.345241 44.51219379999999)
364;N/A;POINT (11.3406765 44.5096901)
365;N/A;POINT (11.3425976 44.50943610000001)
366;N/A;POINT (11.3447175 44.5102006)
367;N/A;POINT (11.3409435 44.510692500000005)
368;N/A;POINT (11.345303699999999 44.51012089999998)
369;N/A;POINT (11.3450022 44.511270999999994)
370;N/A;POINT (11.3469564 44.5098968)
371;N/A;POINT (11.345148499999999 44.50833480000001)
372;N/A;POINT (11.3412203 44.51176819999999)
373;N/A;POINT (11.3431454 44.5115066)
374;N/A;POINT (11.3510289 44.5118276)
375;N/A;POINT (11.3520898 44.5127884)
376;N/A;POINT (11.343389000000002 44.5124457)
377;N/A;POINT (11.3436459 44.513442299999994)
378;N/A;POINT (11.341269962198426 44.51284640996128)
379;N/A;POINT (11.346839099999999 44.5119685)
380;N/A;POINT (11.34900955000611 44.51216685000645)
381;N/A;POINT (11.3524261 44.5135151)
382;N/A;POINT (11.3542788 44.51598419999999)
383;N/A;POINT (11.352755 44.51649750000001)
384;N/A;POINT (11.3552293 44.5171147)
385;N/A;POINT (11.35355444995933 44.515434500016305)
386;N/A;POINT (11.347306799999998 44.500481499999985)
387;N/A;POINT (11.347126 44.5001005)
388;N/A;POINT (11.346208299999999 44.5007703)
389;N/A;POINT (11.3467975 44.4994299)
390;N/A;POINT (11.3457137 44.4996908)
391;N/A;POINT (11.3465277 44.4989814)
392;N/A;POINT (11.3430311 44.51927729999999)
393;N/A;POINT (11.3407478 44.519426)
394;N/A;POINT (11.3425734 44.51880409999999)
395;N/A;POINT (11.343427 44.51976849999999)
396;N/A;POINT (11.3422285 44.516774899999994)
397;N/A;POINT (11.3423368 44.5160499)
398;N/A;POINT (11.3413656 44.516807899999996)
399;N/A;POINT (11.341830000002071 44.51778845000467)
400;N/A;POINT (11.342279249993359 44.51524615000056)
401;N/A;POINT (11.3405153 44.5154138)
